Deutsch;Englisch;Französisch;Italienisch;Spanisch
allemand;anglais;français;italien;espagnol
Rechner;computer;ordinateur;computer, calcolatore;ordenador
Maschine;machine (s);machine;macchina;máquina
Personalcomputer;personal computer;ordinateur personnel (s);computer personale;ordenador personal
arbeitender Rechner;active computer;ordinateur actif;computer attivo;ordenador activado
mathemathischer Rechner;arithmetic computer;calculateur arithmétique;calcolatore matematico;ordenador aritmético
kommerzieller Rechner;business computer;ordinateur de gestion;calcolatore di affari ;ordenator de gestión
Nebenrechner;slave computer;ordinateur asservi;calcolatore secondario ;ordenador auxiliar
Tischrechner;desktop computer;ordinateur de bureau;calcolatore della tabella;ordenador de sobremesas
Universalrechner;all-purpose computer;calculateur polyvalent;calcolatore universale;ordenador polivalente
Einzelrechner;stand-alone computer;ordinateur indépendant;calcolatore autonomo;ordenador único
Einplatinenrechner;single-board computer;ordinateur monoplaque;;ordenador de 1 platina
Schlüssel;key (s);clé;chiave;llave
Prozessor;processor;processeur;processore;procesador
Glocke, Klingel;bell (s);sonnerie;campanello;timbre
Knopf;button (s);bouton;bottone;botón
Koprozessor;coprocessor;coprocesseur;coprocessore;coprocesador
Mikroprozessor;microprocessor;microprocesseur;microprocessor;microprocesador
Lautsprecher;loudspeaker, speaker;haut-parleur;altoparlante;altavoz
funktionieren;work, operate, function;fonctionner;funzionare;funcionar
Bedienung;operating, attendance;opération;manovra, maneggio;operante
Notfall;emergency;état d'urgence;caso d'emergenza;estado de emergencia
abschalten;switch off, break;éteindre, interrompre;interrompere, spegnere;desconectar
einschalten;turn on, activate (v);allumer;inserire, accendere;conectar
bedienen;operate (v);opérer;manovrare;funcionar
in Betrieb;active, operational (a);actif,ve;in funzione;activo, en actividad
nicht angeschlossen;off line;hors ligne;fuori linea;fuera de línea
Taste;key (s);touche;tasto;tecla
Tastatur;keyboard;clavier;tastiera;teclado
drücken;press, push (v);presser;premere;pulsar
umschalten;shift (v);décaler, commuter;commutare;desplazar
Tabulatortaste;tab key;touche de tabulateur;tasto di tabulazione ;tecla del tabulador
Tastenanschlag;keyboard stroke;frappe d'une touche;colpo della tastiera;golpe de tecla
Wiederholungsrate;repetition rate;fréquence de répétition;tasso di ripetizione;frecuencia de repetición
feststellbare Taste;stay-down key;touche d'arrêt;tasto fissabile;tecla fijable
Farbe;colour (s);couleur;colore;color
Bildschirm;screen, display (s);écran, terminal vidéo;schermo;pantalla
grün;green (a);vert;verde;verde
weiß;white (a);blanc;bianco;blanco
schwarzweiß;black-and-white;noir et blanc;bianco e nero;blanco y negro
Auflösung;resolution;résolution;risoluzione;resolución
Rollen (Bildschirm);scrolling (s);défilement;scorrimento;desfile
Spiegelung;reflex (s);réflexion;riflesso;reflexión
Helligkeit;brightness;luminosité;luminosità;reflexibildad media
Kontrast;contrast (s);contraste;contrasto;contraste
Schreibmarke;cursor (s);curseur;cursore;cursor
Bild;image (s);image;immagine;imagen
Kontrollbildschirm;monitor (s);moniteur;monitore;monitor
bernsteinfarben;amber (a);ambré;ambrato;ambarino
monochrom;monochrome (a);monochrome, monocouleur;monocromo;monocromo
Grafikauflösung;graphic resolution;résolution matricielle;resoluzione grafica;resolución gráfica
Farbmonitor;colour monitor/terminal;moniteur couleur;monitore a colore;monitor color
Bildschirmauflösung;screen resolution;résolution (de l'écran);risoluzione dello schermo;resolución en pantalla
Rasterpunkt;screen dot;point de trame;puntino di schermo;punto reticular
blendfrei;non-reflecting,glarefree;anti-éblouissant;antiriflessione;irrefractable
